   117/499     1.44G   0.03371   0.03288         0   0.06658        29       416    0.6978    0.8734    0.8786    0.5798   0.03766    0.0146         0
   118/499     1.44G   0.03357   0.03249         0   0.06606        37       416    0.6966    0.8734    0.8764    0.5779   0.03766   0.01459         0
   119/499     1.44G   0.03356     0.033         0   0.06655        29       416     0.701     0.876    0.8785    0.5808   0.03764   0.01458         0
   120/499     1.44G    0.0338   0.03265         0   0.06645        25       416    0.7002     0.876     0.878     0.581   0.03762   0.01458         0
   121/499     1.44G   0.03374   0.03244         0   0.06618        31       416    0.7013     0.876    0.8791    0.5812    0.0376   0.01457         0
   122/499     1.44G   0.03375   0.03294         0   0.06669        28       416    0.6976    0.8734    0.8773    0.5811   0.03759   0.01457         0
   123/499     1.44G   0.03317   0.03275         0   0.06592        41       416    0.6961     0.876    0.8804    0.5816   0.03756   0.01457         0
   124/499     1.44G   0.03337   0.03221         0   0.06558        41       416    0.6998     0.876    0.8803    0.5813   0.03756   0.01456         0
   125/499     1.44G   0.03353   0.03281         0   0.06633        38       416    0.7024     0.876    0.8797    0.5809   0.03755   0.01456         0
   126/499     1.44G   0.03355   0.03268         0   0.06623        33       416    0.7017     0.876      0.88    0.5805   0.03755   0.01455         0
   127/499     1.44G    0.0332    0.0324         0    0.0656        39       416    0.6992    0.8711    0.8802    0.5793   0.03755   0.01454         0
   128/499     1.44G   0.03372   0.03288         0    0.0666        29       416    0.6984    0.8734    0.8801    0.5807   0.03754   0.01453         0
   129/499     1.44G   0.03304   0.03198         0   0.06502        29       416    0.7006    0.8734    0.8795    0.5809   0.03754   0.01452         0
   130/499     1.44G   0.03326   0.03253         0   0.06578        28       416     0.701    0.8734      0.88    0.5811   0.03753   0.01452         0
   131/499     1.44G   0.03282   0.03221         0   0.06503        31       416    0.7037    0.8734    0.8807    0.5826   0.03751    0.0145         0
   132/499     1.44G   0.03302   0.03235         0   0.06537        27       416    0.7038    0.8734    0.8821    0.5832    0.0375   0.01449         0
   133/499     1.44G   0.03317   0.03269         0   0.06586        38       416    0.7041    0.8734    0.8814    0.5827    0.0375   0.01448         0
   134/499     1.44G     0.033   0.03228         0   0.06528        29       416    0.7026    0.8728    0.8811    0.5829   0.03749   0.01448         0
   135/499     1.44G   0.03255   0.03201         0   0.06456        35       416    0.6984    0.8708    0.8812    0.5833   0.03749   0.01447         0
   136/499     1.44G   0.03286   0.03222         0   0.06508        43       416     0.697    0.8708    0.8813    0.5831    0.0375   0.01446         0
   137/499     1.44G   0.03293   0.03272         0   0.06564        27       416    0.6977    0.8708    0.8816    0.5851    0.0375   0.01446         0
   138/499     1.44G     0.033   0.03235         0   0.06534        27       416    0.7008    0.8708    0.8817    0.5852    0.0375   0.01445         0
   139/499     1.44G   0.03261   0.03225         0   0.06486        29       416    0.7025    0.8708    0.8817    0.5852   0.03751   0.01445         0
   140/499     1.44G   0.03256     0.032         0   0.06455        37       416    0.7045    0.8708    0.8808    0.5842   0.03752   0.01445         0
   141/499     1.44G   0.03262   0.03187         0    0.0645        28       416    0.7084    0.8708    0.8814    0.5835   0.03752   0.01444         0
   142/499     1.44G   0.03251    0.0321         0    0.0646        32       416    0.7087    0.8708    0.8817    0.5838   0.03751   0.01443         0
   143/499     1.44G    0.0326   0.03191         0   0.06451        30       416    0.7117    0.8708    0.8822    0.5842    0.0375   0.01443         0
